dat_load,nam_brand_short,nam_country_short,nam_region_short,today_traffic,yesterday_traffic,weekly_avg_traffic,pct_vs_yesterday_traffic,pct_vs_weekly_traffic,today_purchase,yesterday_purchase,weekly_avg_purchase,pct_vs_yesterday_purchase,pct_vs_weekly_purchase,today_add_to_cart,yesterday_add_to_cart,weekly_avg_add_to_cart,pct_vs_yesterday_atc,pct_vs_weekly_atc,today_page_view,yesterday_page_view,weekly_avg_page_view,pct_vs_yesterday_pv,pct_vs_weekly_pv,today_bounce_rate_pct,yesterday_bounce_rate_pct,weekly_avg_bounce_rate_pct,diff_vs_yesterday_bounce_rate,diff_vs_weekly_bounce_rate,status_traffic,status_purchase
2026-05-23,NARS,TH,APAC,259,202,226.0,28.22,14.46,4,2,2.0,100.0,75.0,20,14,26.0,42.86,-22.65,1244,961,1028.0,29.45,20.99,23.04,21.29,20.14,1.75,2.9,NORMAL,ALERT
2026-05-23,NARS,TW,APAC,1206,1195,2283.0,0.92,-47.18,20,16,83.0,25.0,-75.86,133,116,643.0,14.66,-79.32,8693,7820,19072.0,11.16,-54.42,18.29,17.56,13.86,0.73,4.43,WARNING,WARNING
2026-05-23,NARS,UK,EMEA,6251,7401,8749.0,-15.54,-28.55,298,377,375.0,-20.95,-20.53,1758,2343,2976.0,-24.97,-40.93,28112,33595,43069.0,-16.32,-34.73,32.61,32.86,33.47,-0.26,-0.86,WARNING,WARNING
2026-05-23,NARS,US,Americas,45355,44866,52563.0,1.09,-13.71,1551,1366,1720.0,13.54,-9.85,13730,12287,18221.0,11.74,-24.65,156308,145066,187428.0,7.75,-16.6,46.2,46.26,44.17,-0.05,2.03,NORMAL,NORMAL
2026-05-23,bShi,BE,EMEA,240,290,401.0,-17.24,-40.09,3,1,5.0,200.0,-43.24,30,34,62.0,-11.76,-51.28,1329,1392,2037.0,-4.53,-34.75,20.71,21.21,21.85,-0.5,-1.14,WARNING,WARNING
2026-05-23,bShi,BR,Americas,2646,2856,2423.0,-7.35,9.22,17,23,18.0,-26.09,-7.03,276,241,250.0,14.52,10.53,8363,8755,8643.0,-4.48,-3.24,50.67,50.15,39.56,0.52,11.1,NORMAL,NORMAL
2026-05-23,bShi,CA,Americas,3665,3415,3304.0,7.32,10.94,41,28,22.0,46.43,86.36,521,425,225.0,22.59,131.26,9401,8560,7166.0,9.82,31.19,54.25,54.51,57.48,-0.27,-3.23,NORMAL,ALERT
2026-05-23,bShi,DE,EMEA,951,927,1163.0,2.59,-18.22,2,5,11.0,-60.0,-81.08,52,53,114.0,-1.89,-54.44,3549,3143,4449.0,12.92,-20.22,28.66,28.53,28.16,0.13,0.5,NORMAL,WARNING
2026-05-23,bShi,ES,EMEA,987,1156,1041.0,-14.62,-5.23,4,6,4.0,-33.33,3.7,49,74,67.0,-33.78,-27.33,3493,4093,3897.0,-14.66,-10.37,24.44,24.9,25.07,-0.46,-0.63,NORMAL,NORMAL
2026-05-23,bShi,FR,EMEA,958,1298,1229.0,-26.19,-22.06,10,14,15.0,-28.57,-33.33,108,120,129.0,-10.0,-16.56,3702,4368,4447.0,-15.25,-16.76,27.4,30.61,28.28,-3.21,-0.88,WARNING,WARNING
2026-05-23,bShi,HK,CN,3690,3708,2993.0,-0.49,23.27,11,9,12.0,22.22,-4.94,196,121,166.0,61.98,17.97,5700,5733,6166.0,-0.58,-7.56,72.37,71.06,61.95,1.32,10.42,ALERT,NORMAL
2026-05-23,bShi,IT,EMEA,1538,2011,1787.0,-23.52,-13.93,19,10,10.0,90.0,92.75,182,216,182.0,-15.74,-0.08,5400,6619,6121.0,-18.42,-11.79,28.84,25.96,27.1,2.88,1.74,NORMAL,ALERT
2026-05-23,bShi,JP,JP,50867,47105,48461.0,7.99,4.97,209,206,203.0,1.46,2.81,523,529,498.0,-1.13,5.11,96352,86156,92360.0,11.83,4.32,47.32,47.58,46.28,-0.26,1.04,NORMAL,NORMAL
